utc_timestamp,DEU,ITA,CHE
2016-02-27,-3823.8669414549263,-1715.984930228165,-333.1851605699527
2016-02-28,-3714.106915144432,-1539.0755657401944,-313.7844181594844
2016-02-29,-3752.698611339641,-1524.6129025764735,-320.616237284268
2016-03-01,-3877.4544348326267,-1586.5768053525608,-331.7226636630236
2016-03-02,-3570.1683244024516,-1581.3490392459457,-317.62385748903796
2016-03-03,-3572.9933240731407,-1746.744511821478,-335.7225615303985
2016-03-04,-3581.9274674573285,-1867.5301044788077,-336.2668870887993
2016-03-05,-3473.376321236928,-1808.8957725815187,-336.25341145383106
2016-03-06,-3464.7387369569296,-1813.3714700007538,-344.6459712614028
2016-03-07,-3525.207349395555,-1930.6319860642968,-353.6509170993368
2016-03-08,-3691.0898568082744,-2005.439985792886,-369.59842794449656
2016-03-09,-3688.958223121247,-2025.1639536216785,-367.1792572695518
2016-03-10,-3552.1328756556222,-1907.418983666663,-351.45835825741807
2016-03-11,-3458.9764860641353,-1768.2653037026157,-339.1689702769541
2016-03-12,-3439.0173190673777,-1634.0291092987236,-322.0287279372033
2016-03-13,-3366.9027323761447,-1571.9782589435247,-304.27450164747273
2016-03-14,-3379.3742316686094,-1594.9059930463177,-301.6597556820193
2016-03-15,-3437.8620045737607,-1678.4711082079393,-317.5284625065101
2016-03-16,-3410.8518134613087,-1780.0423787774985,-328.51138400712864
2016-03-17,-3223.743782248717,-1706.7251607363876,-309.41773791084313
2016-03-18,-3092.149214885329,-1596.9728919500699,-284.6994627070324
2016-03-19,-3009.616920415075,-1459.9860710017197,-268.7531043704789
2016-03-20,-2888.3594454059194,-1323.671810774146,-258.5244442693782
2016-03-21,-2803.168350978527,-1207.4694383039096,-264.06877550178547
2016-03-22,-2861.1013773793497,-1196.7143685796873,-281.37624319896196
2016-03-23,-2873.588775523576,-1355.7697926881472,-294.98068533289893
2016-03-24,-2890.717582946619,-1461.9699052436688,-288.023263906305
2016-03-25,-2863.391811223952,-1523.5323795245008,-279.9409733982688
2016-03-26,-2568.242320371821,-1457.3033537531091,-252.30467636213797
2016-03-27,-2426.4562936600482,-1343.177701234209,-248.43416278423183
2016-03-28,-2313.3708791372865,-1257.5418815901648,-234.9918681731777
2016-03-29,-2391.7153715034738,-1139.887647242108,-223.54970808031115
2016-03-30,-2313.280296216866,-1021.665960719654,-192.97669073595435
2016-03-31,-2264.827474373941,-910.5635577603537,-172.01329561450788
2016-04-01,-2426.942810954354,-849.685141741251,-187.7663641351528
2016-04-02,-2188.6120117077808,-850.048975057784,-173.5032477280803
2016-04-03,-1612.0343770364027,-791.789528142008,-150.07084524804608
2016-04-04,-1329.007324414619,-776.1753631709021,-145.45570606636
2016-04-05,-1379.1730725347575,-752.3472318933136,-154.3990157931448
2016-04-06,-1593.590534617355,-692.74341482447,-171.6657398352026
2016-04-07,-2009.4709220977436,-695.4879369540686,-205.32201127344868
2016-04-08,-2306.502716793733,-795.0750111966343,-243.90255863383098
2016-04-09,-2289.2648377337814,-954.0499202264107,-248.8554417036769
2016-04-10,-2088.2850415640382,-986.4132489217632,-218.39536820017477
2016-04-11,-1956.1279660220869,-932.5854369945589,-188.0773166489715
2016-04-12,-1797.3345636144768,-822.756969626752,-169.92147583466914
2016-04-13,-1806.2888854032067,-744.906414845541,-178.08115098423517
2016-04-14,-1848.9880204308488,-739.677572673441,-186.10967685263444
2016-04-15,-1854.6748371858432,-759.526540612326,-182.0139776256172
2016-04-16,-1803.9733353895328,-727.1689018924966,-169.68209299091916
2016-04-17,-2079.680022617427,-666.8603341521078,-184.6503481983106
2016-04-18,-2236.8946674320446,-663.7299221101724,-226.29162160575208
2016-04-19,-2274.742886908049,-740.725731782001,-232.10623421072097
2016-04-20,-2298.9198080349092,-766.7645705402513,-203.99462326418535
2016-04-21,-2051.991516919665,-773.9657568280587,-161.00878650812135
2016-04-22,-1976.6523386797576,-738.493549933593,-149.52972153331484
2016-04-23,-2319.7224411663447,-801.1174916007914,-180.64665635825173
2016-04-24,-2767.569524922952,-943.0901633455609,-240.01645521721406
2016-04-25,-3001.848221143659,-1183.4664720474589,-278.5035580594784
2016-04-26,-3160.443933717801,-1241.1080208930623,-284.4602357581937
2016-04-27,-3171.6300503369853,-1162.3502970962336,-301.402170524886
2016-04-28,-3032.23670769226,-1145.6040306585048,-284.403519869844
2016-04-29,-2679.819271734935,-1027.094232247107,-246.01764106907447
2016-04-30,-2313.290179984563,-941.4908857338364,-222.74034957190798
2016-05-01,-2003.446166547434,-987.4288943712022,-238.5354835392013
2016-05-02,-1655.6113793400993,-979.4721384159676,-215.27797306842814
2016-05-03,-1728.255324379048,-835.1880390464363,-215.12905691831102
2016-05-04,-1881.7209145171223,-781.0662170027756,-217.34042172451944
2016-05-05,-1684.5650263670811,-782.8249322747872,-188.7247295604349
2016-05-06,-1239.8853684626313,-704.1673421639856,-150.34034414505658
2016-05-07,-912.3671794088642,-637.7343293338968,-122.6830960507081
2016-05-08,-769.4542643659687,-601.5888446307447,-103.91480737143928
2016-05-09,-699.5756022344315,-593.422053968628,-96.3006684117484
2016-05-10,-715.8879304560909,-566.9203920567517,-96.76297056480966
2016-05-11,-700.7190619621982,-593.476021433312,-101.90641634360279
2016-05-12,-760.6294645660739,-627.6839766908084,-138.27805919699637
2016-05-13,-867.629269618505,-675.7905410877372,-153.44887231809878
2016-05-14,-1356.3237697150025,-654.7433847993875,-163.84315376218703
2016-05-15,-1845.4664012967112,-666.5863970059758,-194.6507842475176
2016-05-16,-2052.5096189565047,-732.4064244283744,-207.315145372756
2016-05-17,-1945.4285120942732,-751.2849942529997,-192.42695837530732
2016-05-18,-1497.6390852741672,-714.5569545465386,-161.80746429478268
2016-05-19,-1278.026094358727,-749.6317426988037,-180.5689991192221
2016-05-20,-1131.9763960623955,-665.0177965448243,-157.99709247252153
2016-05-21,-831.8082242694898,-538.140230151342,-109.84221764288982
2016-05-22,-639.7858698503752,-468.6383628748348,-90.5212952142283
2016-05-23,-818.8057408771524,-539.2336617304801,-149.16622291042083
2016-05-24,-1100.2457816119922,-574.706067348237,-166.64445350709772
2016-05-25,-1100.4609813234388,-549.2664840933501,-144.2571524437755
2016-05-26,-899.3712031330874,-479.2606012846807,-100.69503767162873
2016-05-27,-751.9112969451487,-413.68823289242476,-69.04437591348504
2016-05-28,-628.3897863586334,-390.6143794162853,-61.22905318127818
2016-05-29,-573.4938772423241,-416.8646816625748,-74.13739339040069
2016-05-30,-594.1928200434887,-451.99615880900524,-97.53598490542792
2016-05-31,-635.2616516331692,-489.1556111137278,-114.88640854286687
2016-06-01,-668.3488471663306,-517.3636266651213,-113.55787663743526
2016-06-02,-669.0693994225666,-533.0878410408793,-113.28607891477458
2016-06-03,-645.4623084889586,-515.4765592831964,-109.47592281741214
2016-06-04,-596.7232343481568,-489.5531507859813,-104.94704124704259
2016-06-05,-548.6825943781757,-448.59701207983784,-96.03338625515664
2016-06-06,-519.2891255676938,-421.9135660740925,-76.85969327392364
2016-06-07,-515.9934054370026,-402.69707145586597,-65.7104811735337
2016-06-08,-556.8303895576001,-398.5620806663972,-70.57970106922019
2016-06-09,-639.1481147976309,-425.229101952954,-82.90252267654503
2016-06-10,-682.0859932679175,-421.6296594588429,-77.05571101965238
2016-06-11,-709.5963794244522,-416.4855947452995,-84.27241958369379
2016-06-12,-727.6646152678206,-413.3216830936921,-95.89440017919146
2016-06-13,-747.1570301404546,-414.6997541533377,-102.20962620829528
2016-06-14,-790.4330489668224,-432.830243394316,-118.23545767921269
2016-06-15,-844.2034685850897,-428.7848087077652,-118.74405663721103
2016-06-16,-816.7229770690684,-410.1838537633016,-118.92090984897999
2016-06-17,-859.1786574975215,-418.2210108239526,-125.79499518803652
2016-06-18,-841.3400891310907,-427.98576366477835,-122.76519951391862
2016-06-19,-857.2124550457125,-442.5151938941648,-124.92032409355065
2016-06-20,-767.9697016950947,-423.5742687564679,-106.27586232153818
2016-06-21,-636.917346847313,-395.87545071378287,-81.52704577143636
2016-06-22,-524.472350011194,-357.95584406612966,-52.63699457852303
2016-06-23,-453.75177209214905,-327.9909433573318,-40.94797762690432
2016-06-24,-436.36121975061394,-314.22437325087407,-38.82532836330278
2016-06-25,-468.60250696833054,-310.4214484563044,-43.33481145792379
2016-06-26,-530.3557671257354,-310.4327814319363,-55.598002106101305
2016-06-27,-605.4484717001158,-328.2624693464604,-68.99399263839335
2016-06-28,-606.2285637862394,-344.3678550583496,-63.77678646254169
2016-06-29,-576.7319396268329,-340.6881677274617,-55.203513054773744
2016-06-30,-554.7821461041198,-337.14984029655903,-54.59432552257509
2016-07-01,-523.4913527091887,-328.2346858043625,-50.353513750566506
2016-07-02,-587.8156497415539,-323.5319530128175,-57.12137728323023
2016-07-03,-680.9735303114226,-319.845580478366,-66.21427429713168
2016-07-04,-627.1936919281546,-322.67703877782105,-57.6213611562584
2016-07-05,-606.5338662987316,-328.22485627736586,-56.56357224000562
2016-07-06,-665.0743785460962,-325.6709132389403,-58.00543280027377
2016-07-07,-610.2684738237724,-320.4650984125103,-53.96861671455475
2016-07-08,-555.508023249746,-317.9575028084238,-48.464710279493964
2016-07-09,-524.4442439425933,-309.3435199771819,-45.68645669397938
2016-07-10,-453.5730350490837,-294.99307807577594,-40.366555092570024
2016-07-11,-453.73327201619,-292.8833517809621,-40.71708125240174
2016-07-12,-505.8662658829071,-305.6310349962167,-51.49309259707804
2016-07-13,-591.385627153928,-322.67618642478686,-82.11362654380207
2016-07-14,-762.9837232601864,-358.9146675390212,-122.43854076507112
2016-07-15,-833.7786201746385,-397.45727737627874,-133.04584323367453
2016-07-16,-694.4398202399461,-404.3538609999963,-115.1811398562157
2016-07-17,-554.7309506694904,-367.5686726342848,-72.80581263840166
2016-07-18,-500.3883205602369,-334.82355171892493,-50.37591353586117
2016-07-19,-473.15048311616295,-322.541983224562,-43.03410778839441
2016-07-20,-442.6233176640249,-311.89282420457715,-39.02027954524441
2016-07-21,-446.27752055358013,-308.9517764703454,-40.17936257741265
2016-07-22,-452.55338951286444,-312.751438774225,-44.53570166216679
2016-07-23,-463.9826285283435,-317.93800709656864,-48.17234595561355
2016-07-24,-447.80659610962596,-312.97623070489914,-47.92355527677552
2016-07-25,-445.5693489290952,-311.22904606049025,-47.46177939369678
2016-07-26,-465.7537145972139,-319.52943913072824,-47.90431640845622
2016-07-27,-482.36372849798056,-321.15980827027306,-49.67770805332205
2016-07-28,-495.8112007373682,-322.9308765669801,-51.67077261148639
2016-07-29,-503.307046217862,-319.6792011226324,-48.98908152927071
2016-07-30,-494.47326700847174,-312.3243413507121,-45.06667621814362
2016-07-31,-509.8120296087065,-307.6212378057501,-48.00924583307151
2016-08-01,-552.744309984324,-317.1362480440224,-54.594324524559255
2016-08-02,-601.6644534001105,-328.2246934784772,-56.39747621825275
2016-08-03,-555.4079449782977,-322.2843356886949,-50.75377264158965
2016-08-04,-542.3584148808532,-314.9014882392909,-48.01006191631204
2016-08-05,-596.1626756859919,-337.8990757847784,-68.46366496349515
2016-08-06,-603.6105241461547,-347.4639245794858,-74.88303568386337
2016-08-07,-543.9475001815599,-335.3440499217679,-64.92966720994976
2016-08-08,-526.0749459177841,-328.2942640134864,-55.2361471597399
2016-08-09,-630.2325267072225,-335.85010250907084,-67.84609843074843
2016-08-10,-885.2956935696025,-363.97819440127455,-95.8089963894776
2016-08-11,-1046.3287742411296,-390.3470671442327,-111.452178290084
2016-08-12,-820.2975348616396,-396.0446192583491,-94.02032716645779
2016-08-13,-594.4418242704596,-371.29383125564414,-63.168358231984676
2016-08-14,-532.8581979639094,-335.6098348657269,-48.196018504417296
2016-08-15,-538.8773593337733,-322.2198197407013,-44.58301725068184
2016-08-16,-565.2187864082438,-327.8027776202529,-45.04016862119871
2016-08-17,-590.8405578424765,-332.1517646523736,-47.89041766407831
2016-08-18,-580.1541074986372,-338.6133233039357,-52.85333452715594
2016-08-19,-541.8366196128791,-338.1976354244687,-52.423125664672746
2016-08-20,-534.4893326523024,-333.937407526801,-56.7727345994125
2016-08-21,-570.0428039998201,-330.6977819104348,-73.51355985071841
2016-08-22,-590.5276770354288,-344.21961907444125,-76.94467723426122
2016-08-23,-541.3415340243145,-348.0927211723424,-62.840640078183476
2016-08-24,-490.840325233938,-338.137264428808,-49.515747423655135
2016-08-25,-460.3149952822438,-330.0437948845238,-42.53460621662917
2016-08-26,-438.10941030618073,-325.03730420507685,-39.201953509215734
2016-08-27,-427.1250346298681,-318.8744836745589,-38.05872833373307
2016-08-28,-412.5836398262068,-307.1259614240421,-37.746344298419146
2016-08-29,-452.6910447904797,-309.4929951480504,-43.84314753477338
2016-08-30,-515.6717025500758,-331.64979548630487,-51.95266959708134
2016-08-31,-523.4145540009397,-335.9670856839603,-52.40037266294556
2016-09-01,-519.6048909682947,-331.9365969046632,-51.13800812372599
2016-09-02,-514.9698499150956,-328.2587269472221,-49.59053412547712
2016-09-03,-507.1463497641541,-322.5595662214616,-48.91985540985013
2016-09-04,-518.4576700398036,-314.87873964845005,-52.09280579853181
2016-09-05,-563.8321621299947,-329.5161782297221,-66.79734479238698
2016-09-06,-593.0693689879541,-362.92181299566175,-77.89144508147584
2016-09-07,-568.3836199722736,-376.21794993834624,-73.37168083883681
2016-09-08,-511.90710206543946,-365.43733573389954,-59.48157804248636
2016-09-09,-501.0094429655935,-354.07467840943366,-53.7033436516436
2016-09-10,-477.6709801709719,-345.7792388802501,-49.65150472922383
2016-09-11,-458.66851395044,-337.5523725845508,-47.581334516099346
2016-09-12,-441.4631962449434,-336.5000802895346,-47.436174975320796
2016-09-13,-443.3721586058562,-344.5001267402279,-47.74439286435336
2016-09-14,-447.3270001491896,-344.49762767595917,-49.30232449688769
